,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2003,D2003,D2003,D2003,D2003,D2003,D2003,D2003,D2003
10,2.063180588704039,2.063180588704039,2.063180588704039,2.063180588704039,2.063180588704039,2.063180588704039,2.3163686682560116,2.3163686682560116,2.3163686682560116,2.205082827736009,2.205082827736009,2.205082827736009,2.205082827736009,2.205082827736009,2.205082827736009,2.4756847757497824,2.4756847757497824,2.4756847757497824,2.1686458084452176,2.1686458084452176,2.1686458084452176,2.1686458084452176,2.1686458084452176,2.1686458084452176,2.4347763015658304,2.4347763015658304,2.4347763015658304
11,2.087987496307011,2.087987496307011,2.087987496307011,2.087987496307011,2.087987496307011,2.087987496307011,2.344219814123927,2.344219814123927,2.344219814123927,2.2176063668804544,2.2176063668804544,2.2176063668804544,2.2176063668804544,2.2176063668804544,2.2176063668804544,2.4897451705832236,2.4897451705832236,2.4897451705832236,2.1955943710535237,2.1955943710535237,2.1955943710535237,2.1955943710535237,2.1955943710535237,2.1955943710535237,2.4650319206920392,2.4650319206920392,2.4650319206920392
12,1.9614693120651512,1.9614693120651512,1.9614693120651512,1.9614693120651512,1.9614693120651512,1.9614693120651512,2.202175652043782,2.202175652043782,2.202175652043782,2.079281676477876,2.079281676477876,2.079281676477876,2.079281676477876,2.079281676477876,2.079281676477876,2.334445639049725,2.334445639049725,2.334445639049725,2.066076650614282,2.066076650614282,2.066076650614282,2.066076650614282,2.066076650614282,2.066076650614282,2.3196201272445975,2.3196201272445975,2.3196201272445975
13,2.1381603123134787,2.1381603123134787,2.1381603123134787,2.1381603123134787,2.1381603123134787,2.1381603123134787,2.4005497057639777,2.4005497057639777,2.4005497057639777,2.260942389140978,2.260942389140978,2.260942389140978,2.260942389140978,2.260942389140978,2.260942389140978,2.538399275183043,2.538399275183043,2.538399275183043,2.257126540241688,2.257126540241688,2.257126540241688,2.257126540241688,2.257126540241688,2.257126540241688,2.5341151553723447,2.5341151553723447,2.5341151553723447
14,2.1078237323520796,2.1078237323520796,2.1078237323520796,2.1078237323520796,2.1078237323520796,2.1078237323520796,2.366490300732077,2.366490300732077,2.366490300732077,2.218361807997104,2.218361807997104,2.218361807997104,2.218361807997104,2.218361807997104,2.218361807997104,2.4905933174409927,2.4905933174409927,2.4905933174409927,2.236515215542059,2.236515215542059,2.236515215542059,2.236515215542059,2.236515215542059,2.236515215542059,2.5109744632744895,2.5109744632744895,2.5109744632744895
15,2.0941841554665284,2.0941841554665284,2.0941841554665284,2.0941841554665284,2.0941841554665284,2.0941841554665284,2.3511769109498455,2.3511769109498455,2.3511769109498455,2.200368068912778,2.200368068912778,2.200368068912778,2.200368068912778,2.200368068912778,2.200368068912778,2.4703914341604363,2.4703914341604363,2.4703914341604363,2.2339717040214278,2.2339717040214278,2.2339717040214278,2.2339717040214278,2.2339717040214278,2.2339717040214278,2.508118818729365,2.508118818729365,2.508118818729365
16,2.1195005831097125,2.1195005831097125,2.1195005831097125,2.1195005831097125,2.1195005831097125,2.1195005831097125,2.3796001038132855,2.3796001038132855,2.3796001038132855,2.237171038969859,2.237171038969859,2.237171038969859,2.237171038969859,2.237171038969859,2.237171038969859,2.511710767623405,2.511710767623405,2.511710767623405,2.26678196053501,2.26678196053501,2.26678196053501,2.26678196053501,2.26678196053501,2.26678196053501,2.5449554633748264,2.5449554633748264,2.5449554633748264
17,2.053330147016257,2.053330147016257,2.053330147016257,2.053330147016257,2.053330147016257,2.053330147016257,2.305309406347973,2.305309406347973,2.305309406347973,2.17857398129783,2.17857398129783,2.17857398129783,2.17857398129783,2.17857398129783,2.17857398129783,2.445922833602208,2.445922833602208,2.445922833602208,2.1909969273639556,2.1909969273639556,2.1909969273639556,2.1909969273639556,2.1909969273639556,2.1909969273639556,2.459870290840104,2.459870290840104,2.459870290840104
18,2.0668612494333485,2.0668612494333485,2.0668612494333485,2.0668612494333485,2.0668612494333485,2.0668612494333485,2.320501009961112,2.320501009961112,2.320501009961112,2.232358894547374,2.232358894547374,2.232358894547374,2.232358894547374,2.232358894547374,2.232358894547374,2.5063080895309513,2.5063080895309513,2.5063080895309513,2.137104782882211,2.137104782882211,2.137104782882211,2.137104782882211,2.137104782882211,2.137104782882211,2.399364644545199,2.399364644545199,2.399364644545199
19,1.6145959628557496,1.6145959628557496,1.6145959628557496,1.6145959628557496,1.6145959628557496,1.6145959628557496,1.8127349204079808,1.8127349204079808,1.8127349204079808,1.7516301298578005,1.7516301298578005,1.7516301298578005,1.7516301298578005,1.7516301298578005,1.7516301298578005,1.9665855589134038,1.9665855589134038,1.9665855589134038,1.669083270193569,1.669083270193569,1.669083270193569,1.669083270193569,1.669083270193569,1.669083270193569,1.8739087663747267,1.8739087663747267,1.8739087663747267
